,user
8,0
255,0
262,0
223,0
693,0
732,0
731,0
218,0
65,0
307,0
375,0
154,0
433,0
207,0
605,0
346,0
427,0
412,0
285,0
690,0
502,0
85,0
120,0
194,0
702,0
47,0
73,0
60,0
372,0
81,0
350,0
361,0
19,0
551,0
257,0
305,0
429,0
597,0
238,0
506,0
84,0
579,0
301,0
719,0
242,0
782,0
739,0
245,0
634,0
268,0
117,0
521,0
459,0
565,0
488,0
435,0
666,0
686,0
694,0
299,0
543,0
426,0
399,0
386,0
530,0
549,0
216,0
135,0
202,0
664,0
370,0
309,0
711,0
681,0
772,0
479,0
59,0
3,0
775,0
16,0
518,0
619,0
624,0
556,0
187,0
56,0
540,0
481,0
349,0
439,0
248,0
23,0
747,0
69,0
181,0
604,0
274,0
101,0
512,0
415,0
558,0
517,0
538,0
725,0
148,0
90,0
311,0
428,0
629,0
50,0
392,0
201,0
649,0
185,0
408,0
658,0
49,0
446,0
769,0
277,0
754,0
134,0
233,0
314,0
705,0
493,0
61,0
111,0
766,0
289,0
509,0
612,0
763,0
656,0
104,0
632,0
57,0
473,0
354,0
752,0
247,0
402,0
700,0
726,0
205,0
778,0
35,0
432,0
430,0
41,0
704,0
599,0
414,0
585,0
108,0
788,0
651,0
0,0
363,0
74,0
224,0
720,0
66,0
659,0
335,0
661,0
368,0
175,0
457,0
584,0
159,0
419,0
161,0
639,0
507,0
610,0
353,0
13,0
511,0
618,0
355,0
286,0
92,0
125,0
114,0
689,0
647,0
273,0
722,0
777,0
241,0
453,0
189,0
341,0
132,0
625,0
524,0
709,0
310,0
358,0
