,user
138210,0
140574,0
25423,0
46020,0
109311,0
92484,0
125227,0
133534,0
99438,0
124395,0
84613,0
144372,0
94762,0
8644,0
78895,0
96258,0
48954,0
57895,0
73611,0
90220,0
64349,0
10444,0
27239,0
71773,0
12934,0
36904,0
109601,0
127275,0
91594,0
77580,0
9581,0
97566,0
54171,0
75889,0
47380,0
64281,0
125387,0
3444,0
134875,0
142342,0
72608,0
7561,0
125661,0
146315,0
6569,0
76683,0
57252,0
89783,0
46143,0
42999,0
54978,0
114296,0
43770,0
136762,0
105045,0
34697,0
82392,0
108739,0
122375,0
11312,0
113095,0
45515,0
24693,0
70541,0
125365,0
36278,0
134449,0
136333,0
103912,0
13837,0
61455,0
1862,0
83704,0
12110,0
88851,0
44977,0
80809,0
58364,0
17256,0
135023,0
49740,0
131704,0
69952,0
135749,0
36884,0
77460,0
2680,0
83991,0
48393,0
19712,0
55092,0
32248,0
137725,0
67868,0
91230,0
90244,0
128939,0
80118,0
70418,0
108224,0
143810,0
73976,0
142847,0
142670,0
147456,0
53858,0
62818,0
130661,0
130041,0
43404,0
112196,0
118419,0
126383,0
116476,0
45203,0
124862,0
92233,0
137934,0
139591,0
62973,0
123765,0
13832,0
3237,0
127244,0
114151,0
37635,0
132639,0
20583,0
117127,0
99072,0
133600,0
70926,0
26788,0
22895,0
138649,0
108642,0
77523,0
46755,0
2040,0
109411,0
102536,0
86484,0
68112,0
133097,0
26956,0
70068,0
83740,0
14367,0
106146,0
145527,0
89351,0
35579,0
10662,0
77252,0
123623,0
12675,0
23427,0
42912,0
115783,0
89665,0
100607,0
88073,0
77784,0
30369,0
98239,0
13696,0
130924,0
149421,0
56593,0
45312,0
119682,0
14923,0
150085,0
36044,0
22930,0
67856,0
132357,0
112375,0
148410,0
4283,0
115242,0
58085,0
17395,0
109313,0
142401,0
124139,0
61830,0
59497,0
123433,0
103279,0
130016,0
51411,0
102589,0
76558,0
99403,0
125728,0
46746,0
110500,0
124240,0
141093,0
